"Stock Name","Jurisdiction","FMP","Science Center","Regional Ecosystem","FSSI Stock?","ITIS Taxon Serial Number","Scientific Name","Common Name","Stock Area","Assessment Year","Assessment Month","Last Data Year","Update Type","Review Result","Assessment Model","Model Version","Lead Lab","Citation","Final Assessment Report 1","Final Assessment Report 2","Point of Contact","Life History Data","Abundance Data","Catch Data","Assessment Level","Assessment Frequency","Assessment Type","Model Category","Catch Input Data","Abundance Input Data","Biological Input Data","Ecosystem Linkage","Composition Input Data","F Year","Estimated F","F Unit","F Basis","Flimit","Flimit Basis","Fmsy","Fmsy Basis","F/Flimit","F/Fmsy","Ftarget","Ftarget Basis","F/Ftarget","B Year","Estimated B","B Unit","B Basis","Blimit","Blimit Basis","Bmsy","Bmsy Basis","B/Blimit","B/Bmsy","MSY","MSY Unit","Species","Region"
"Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",169182,"Stenotomus chrysops","Scup","Atlantic Coast",2005,7,2005,"Full Update","Full acceptance","Index","Survey Abundance","MAFMC","MAFMC, Scup Management Measures, 2006",NA,NA,"Scup Monitoring Committee, MAFMC",0,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,0.259999990463257,"Fmax",0.259999990463257,"proxy",NA,NA,NA,NA,NA,2005,0.689999997615814,"kg/tow","Spring SSB, 3-yr average",2.76999998092651,"historical surveys",2.76999998092651,"proxy",0.25,0.25,NA,NA,"Scup","Atlantic Coast"
"Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",169182,"Stenotomus chrysops","Scup","Atlantic Coast",2009,10,2008,"Full Update","Full acceptance","ASAP/SCAA","NFT 2008a","NEFSC","NEFSC RD 09-18 (2009)","Stock Assessment of Scup for 2009",NA,"James Weinberg",2,3,4,4,2,NA,NA,NA,NA,NA,NA,NA,2008,0.0480000004172325,"Average_F","Ages_2-7+",0.177000001072884,"F40%",0.177000001072884,"F40% as proxy",0.270999997854233,0.270999997854233,NA,NA,NA,2008,187888,"mt","Spawning biomass",46022,"0.5*Bmsy",92044,"SSB40%",4.08300018310547,2.04099988937378,16161,"mt","Scup","Atlantic Coast"
"Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",169182,"Stenotomus chrysops","Scup","Atlantic Coast",2009,1,2007,"Benchmark","Full acceptance","ASAP","NFT 2.0.17","NEFSC","NEFSC  Memo (Thompson) April 20, 2009; NEFSC CRD 09-02 (2009)","The Northeast Data Poor Stocks  Working Group Report",NA,"Jim Weinberg",2,3,4,4,2,NA,NA,NA,NA,NA,NA,NA,2007,0.0540000014007092,"Instantaneous annual F for age with maximum F","apical F (max F at age)",0.177000001072884,"F40%",0.177000001072884,"F40% as proxy",0.305000007152557,0.305000007152557,NA,NA,NA,2007,119343,"mt","Spawning biomass",46022,"0.5*Bmsy",92044,"B40%",2.59299993515015,1.29700005054474,16161,"mt","Scup","Atlantic Coast"
"Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",169182,"Stenotomus chrysops","Scup","Atlantic Coast",2010,7,2009,"Partial Update","Accept previous approach, remand new attempt","ASAP","NFT 2008a","NEFSC","NEFSC RD 10-16 (2010)","Stock Assessment of Scup for 2010",NA,"James Weinberg",2,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,2009,0.0430000014603138,"Average_F","Ages_2-7+",0.177000001072884,"F40%",0.177000001072884,"F40% as proxy",0.243000000715256,0.243000000715256,NA,NA,NA,2009,154545,"mt","Spawning biomass",46022,"0.5*Bmsy",92044,"SSB40%",3.35800004005432,1.67900002002716,16161,"mt","Scup","Atlantic Coast"
"Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",169182,"Stenotomus chrysops","Scup","Atlantic Coast",2011,10,2010,"Full Update","Accept previous approach, remand new attempt","ASAP","NFT 2008a","NEFSC","NEFSC RD 11-21 (2011)","Scup Assessment 2011",NA,"James Weinberg",2,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,2010,0.0399999991059303,"Average_F","Ages_2-7+",0.177000001072884,"F40%",0.177000001072884,"F40% as proxy",0.225999996066093,0.225999996066093,NA,NA,NA,2009,186262,"mt","Spawning biomass",46022,"0.5*Bmsy",92044,"SSB40%",4.04699993133545,2.0239999294281,16161,"mt","Scup","Atlantic Coast"
"Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",169182,"Stenotomus chrysops","Scup","Atlantic Coast",2012,7,2011,"Full Update","Accept previous approach, remand new attempt","ASAP","NFT 2008a","NEFSC","""Stock Assessment of Scup for 2012"" by M. Terceiro; and Memo to C. Moore from MAFMC staff 7/31/12","Stock Assessment of Scup  (Stenotomus chrysops)  for 2012",NA,"James Weinberg",2,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,2010,0.034000001847744,"Average_F","Ages_2-7+",0.177000001072884,"F40%",0.177000001072884,"F40% as proxy",0.19200000166893,0.19200000166893,NA,NA,NA,2009,190424,"mt","Spawning biomass",46022,"0.5*Bmsy",92044,"SSB40%",4.13800001144409,2.06900000572205,16161,"mt","Scup","Atlantic Coast"
"Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",169182,"Stenotomus chrysops","Scup","Atlantic Coast",2015,7,2014,"Benchmark","Full acceptance","ASAP",NA,"NEFSC","""60th SAW, Assessment Summary Report"" NEFSC, 2015 (CRD 15-07)","SCUP BENCHMARK STOCK ASSESSMENT FOR 2015",NA,"James Weinberg",2,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,2014,0.127000004053116,"apical F","Age_3",0.219999998807907,"F40%",0.219999998807907,"F40% as proxy",0.577000021934509,0.577000021934509,NA,NA,NA,2014,182915,"mt","Spawning biomass",43651,"0.5*Bmsy",87302,"SSB40%",4.19000005722046,2.09500002861023,11752,NA,"Scup","Atlantic Coast"
"Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",169182,"Stenotomus chrysops","Scup","Atlantic Coast",2017,6,2016,"Full Update","Full acceptance","ASAP",NA,"NEFSC","Scup Stock Assessment Update for 2017. Mark Terceiro. Northeast Fisheries Science Center","Scup Stock Assessment Update for 2017",NA,"Mark Terceiro",2,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,2016,0.138999998569489,"apical F","F_for_Age_3_Fish",0.219999998807907,"F40%",0.219999998807907,"F40% as proxy",0.632000029087067,0.632000029087067,NA,NA,NA,2016,179898,"mt","Spawning biomass",43651,"0.5*Bmsy",87302,"SSB40%",4.12099981307983,2.06100010871887,11752,NA,"Scup","Atlantic Coast"
"Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",169182,"Stenotomus chrysops","Scup","Atlantic Coast",2019,8,2018,NA,"Full acceptance","ASAP","2015 Version","NEFSC",NA,"Operational Assessment of the Black Sea Bass, Scup, Bluefish, and Monkfish Stocks, Updated Through 2018",NA,"Mark Terceiro",NA,NA,NA,NA,NA,"Operational",6,4,4,NA,1,4,2018,0.158000007271767,"Rate","Fully Selected F - Age 3",0.215000003576279,"Fmsy",0.215000003576279,"F40% as proxy",0.735000014305115,0.735000014305115,NA,NA,NA,2018,186578,"Metric Tons","Spawning Stock Biomass",43651,"0.5*Bmsy",94020,"SSB40%",4.27400016784668,1.98399996757507,12927,"Metric Tons","Scup","Atlantic Coast"
